"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000163661.4-PTX3"	41.7412845293921	35.0350427567527	11.5832524301021	1.9128508581588e-13	6.02567148828604e-09	19.8201425880266	"ENSG00000163661.4-PTX3"	TRUE	8.21999454918335	TRUE
"ENSG00000112333.11-NR2E1"	6.5364478937599	4.27733034153727	10.8514169179296	1.13542123892985e-12	1.78834522237646e-08	18.2376919305809	"ENSG00000112333.11-NR2E1"	TRUE	7.74754864118824	TRUE
"ENSG00000144115.16-THNSL2"	17.2184180359218	10.5231517587084	10.4645574431236	2.99255681946609e-12	3.14228441233337e-08	17.3686572329253	"ENSG00000144115.16-THNSL2"	TRUE	7.50275450894694	TRUE
"ENSG00000182175.14-RGMA"	76.8121757540928	182.041509541106	8.87220771954049	1.98405707267794e-10	1.39528267665394e-06	13.5513489143904	"ENSG00000182175.14-RGMA"	TRUE	5.85533779778509	TRUE
"ENSG00000005469.11-CROT"	25.6493690192874	31.7493781750024	8.83207365113014	2.21466410059036e-10	1.39528267665394e-06	13.4501793649172	"ENSG00000005469.11-CROT"	TRUE	5.85533779778509	TRUE
"ENSG00000007372.23-PAX6"	67.2776331866793	86.2377702812727	8.76218794928872	2.6833276455022e-10	1.40879173601608e-06	13.2734435943529	"ENSG00000007372.23-PAX6"	TRUE	5.85115320460831	TRUE
"ENSG00000185485.14-SDHAP1"	-21.2244043044833	28.1973340290548	-8.49271312784948	5.65751763362336e-10	2.38467735864065e-06	12.5852634956011	"ENSG00000185485.14-SDHAP1"	TRUE	5.62257037169331	FALSE
"ENSG00000233098.9-CCDC144NL-AS1"	-56.0242200832048	48.1248419116894	-8.46827792856192	6.05613119238284e-10	2.38467735864065e-06	12.522340716138	"ENSG00000233098.9-CCDC144NL-AS1"	TRUE	5.62257037169331	FALSE
"ENSG00000160360.13-GPSM1"	12.7118773002156	42.5585038399281	8.368799813173	7.99658384546312e-10	2.66615197801932e-06	12.2652936642498	"ENSG00000160360.13-GPSM1"	TRUE	5.57411509823276	TRUE
"ENSG00000100376.12-FAM118A"	-18.5625872758335	21.6655680714701	-8.34853359318319	8.46370584432024e-10	2.66615197801932e-06	12.2127538753981	"ENSG00000100376.12-FAM118A"	TRUE	5.57411509823276	FALSE
"ENSG00000154529.14-CNTNAP3B"	8.47120417104783	10.6243541961627	8.30546642306728	9.55055399067904e-10	2.71384365376139e-06	12.1009100686068	"ENSG00000154529.14-CNTNAP3B"	TRUE	5.56641517593367	TRUE
"ENSG00000198121.13-LPAR1"	-3.78691154297097	4.20704680908053	-8.24503562962536	1.13191781631077e-09	2.71384365376139e-06	11.9435332601998	"ENSG00000198121.13-LPAR1"	TRUE	5.56641517593367	FALSE
"ENSG00000148053.16-NTRK2"	1.41335813772503	1.68687510858301	8.22249300103493	1.20611444565758e-09	2.71384365376139e-06	11.8846956607112	"ENSG00000148053.16-NTRK2"	TRUE	5.56641517593367	TRUE
"ENSG00000080166.16-DCT"	3.76010600043657	2.74827284469802	8.10943149963463	1.65989486451454e-09	3.48588987513818e-06	11.5885340366591	"ENSG00000080166.16-DCT"	TRUE	5.45768633706976	TRUE
"ENSG00000168348.4-INSM2"	-1.88762514017809	1.63395224842158	-7.86358925494298	3.34119548334257e-09	6.57818743254838e-06	10.9385459137564	"ENSG00000168348.4-INSM2"	TRUE	5.18189375630764	FALSE
"ENSG00000079156.17-OSBPL6"	5.28265747976149	11.7231060022755	7.76689629608642	4.40779771745809e-09	7.50196403445529e-06	10.6806975818731	"ENSG00000079156.17-OSBPL6"	TRUE	5.12482502225342	TRUE
"ENSG00000164066.13-INTU"	11.7597967971315	19.7300444238489	7.75504227219082	4.560405625026e-09	7.50196403445529e-06	10.6490032286594	"ENSG00000164066.13-INTU"	TRUE	5.12482502225342	TRUE
"ENSG00000100433.15-KCNK10"	3.94261041549795	5.74614071761795	7.72293891118281	5.00115058961814e-09	7.50196403445529e-06	10.5630770260145	"ENSG00000100433.15-KCNK10"	TRUE	5.12482502225342	TRUE
"ENSG00000116991.10-SIPA1L2"	12.0617954218632	24.4240734306569	7.53987592562299	8.48151891016368e-09	1.0099884840574e-05	10.0706086767485	"ENSG00000116991.10-SIPA1L2"	TRUE	4.99568357803799	TRUE
"ENSG00000145423.5-SFRP2"	237.298621381614	384.08402627146	7.53828457966724	8.5206878930168e-09	1.0099884840574e-05	10.0663094320848	"ENSG00000145423.5-SFRP2"	TRUE	4.99568357803799	TRUE
"ENSG00000179242.16-CDH4"	7.68775936240004	14.4401348314927	7.50768443117013	9.31054404491104e-09	1.0099884840574e-05	9.98357866840881	"ENSG00000179242.16-CDH4"	TRUE	4.99568357803799	TRUE
