1116aIPSC	1116aNPC	1116bIPSC	1116bNPC	1128aIPSC	1128aNPC	1128bIPSC	1128bNPC	1164aIPSC	1164aNPC	1164bIPSC	1164bNPC	1206aIPSC	1206aNPC	1206bIPSC	1206bNPC	1358aIPSC	1358aNPC	1358bIPSC	1358bNPC	1428aIPSC	1428aNPC	1428bIPSC	1428bNPC	1485aIPSC	1485aNPC	1485bIPSC	1485bNPC	1928aIPSC	1928aNPC	1928bIPSC	1928bNPC	2140aIPSC	2140aNPC	2140bIPSC	2140bNPC	2220aIPSC	2220aNPC	2220bIPSC	2220bNPC
ENSG00000002586.20-CD99	51.6735437566988	631.356154129438	62.2351905213293	691.630390407712	61.1924735716264	569.359141088358	58.2990223537093	478.585887094753	42.7033255468303	569.777906453939	38.6450805496977	547.228635726664	56.6283113294043	674.098203909088	55.0250232485312	637.668214531971	69.5663929759053	437.030777844685	58.7900216997839	495.994401031412	43.118517363964	501.317895403736	48.5534314023829	492.474439445847	52.8065831977383	508.136120617764	50.593723090057	473.360651641782	54.7936006869227	504.804483100008	39.7150776500348	472.968614010036	64.4818421853845	486.593778771266	61.7817947731531	436.311391607153	64.238720390847	613.069464258615	65.5693523295372	695.413289492091
ENSG00000005469.11-CROT	4.66472042171925	54.1907416511835	5.01714853443903	59.6947829731263	6.04089221655198	34.9192144319826	6.50220199536878	58.0023731517078	8.10045557085488	63.8831059635007	4.45515888338286	69.3052641451955	6.59185023143676	55.4820489020195	5.28541820686147	47.6061157285561	6.52538928099221	78.708913107592	4.98427262234339	81.881493041189	4.54371460027304	53.6758312380645	6.09593708150157	44.2864965696786	6.02677172831777	64.1599719986213	6.29503352824045	65.5830596091718	6.6583875233758	68.016482164676	5.06760039483648	69.5483231806177	5.87234090493756	31.3918856377814	6.88104710835519	44.6429447629834	5.35182078107196	48.7916142479696	5.00533371272432	60.2389691668922
ENSG00000007372.23-PAX6	1.03599422998025	200.05555482985	0.712833521722497	183.747444732797	0.50261478787825	102.894172430344	1.11829722859515	150.730203560627	0.856024945686618	194.387156631196	0.870567258751337	196.916061651811	0.583114703045008	176.373578374388	0.703582614796983	186.227706100652	0.598412998272738	245.90991894868	1.08153743478918	205.352187108003	0.483545685998084	131.805595915362	0.669314214049061	138.747184656601	1.24893789719336	157.551291786843	0.78464384805292	200.572966071227	0.873221591337282	195.677117894455	0.806405747025938	173.015929503676	0.693017971705245	118.900047288578	0.788512895189705	130.293969225329	0.57502595312962	157.443203110028	0.594485985423762	187.329429917837
ENSG00000080166.16-DCT	0.533700949622594	6.77457653430815	0.567306665543606	8.06695274423137	0.465431518106215	1.67764701153727	0.468655582084995	3.54002635576783	0.600521777272078	4.99756462623872	0.5353454229592	4.29168840505593	0.495008748499342	6.19086215392178	0.747477725717855	5.29446255766958	0.49018445172936	7.92612633051344	0.594637289383598	5.30043182320944	0.674373940260922	2.29827605635097	0.538802970347402	2.33048778672178	0.613710822446437	4.1554119059918	0.604094317144937	6.53303724370083	0.600578606407758	6.98413381694659	0.479903411403701	7.8343461803506	0.483790941435705	1.56992876908371	0.450401139984796	2.0400532669245	0.601616819509538	4.76533545031217	0.510643187067873	6.3033784821565
ENSG00000091879.13-ANGPT2	0.477558190771289	3.22109338862781	0.461083905671169	2.70848979166736	0.492261261280738	6.85599437315414	0.665586489627641	5.70716103632858	0.645011216949246	3.50111740206063	0.565184555173641	5.65370188037714	0.561524000433075	2.96413785604787	0.519982554378535	2.17151058085874	0.508936291444148	2.4769281718603	0.573772443199136	3.58703379143449	0.683112738767064	6.16386094031708	0.597932997909117	4.57052553203999	0.589236774545378	3.48933018175177	0.473305665173921	4.87103304900298	0.36650430603468	3.08406118159068	0.492726893342068	4.77285970096737	0.469732537448063	7.31946736780546	0.544161980270187	6.73227386052111	0.657903287140081	2.85977274422241	0.604488609125523	2.04278548173165
ENSG00000093072.18-ADA2	31.5667475882798	56.107425775748	37.7156396340269	50.9971669247894	31.5360589759188	28.2182484525572	28.6700035863966	28.6599793913547	25.2751716085225	32.5728987062362	23.7411990434685	35.176942608592	47.8743913092879	62.4430856792037	35.7676067756074	37.7583742513636	21.9717466059306	25.5183077891182	24.9631982660912	19.5579764657898	26.5863167040339	26.4002179320376	27.2732575486514	26.6441963474851	17.1166775285949	15.086352967633	27.2929448754447	29.9758348654309	24.3143502870363	31.0053150526787	23.4699907507505	25.5832960511061	26.0041641400609	30.1883599799184	19.8316512693396	22.1902544875326	40.0262375207052	69.6386648371745	35.6324134243037	59.5760899444559
ENSG00000100376.12-FAM118A	19.0925758187786	20.2892066295346	19.2055619429628	18.0071640924466	18.4171743808834	29.3591959411985	23.4000836600737	30.5428253806412	19.1918644002993	16.9760958443589	18.9453589388506	21.9705046637895	25.709418082924	25.0266265237151	27.3894901677084	23.3259326880692	11.9694105621551	13.6764728747883	13.9624400279002	13.207783096085	23.2072185902568	32.3563618860676	16.9224555972258	34.0753219221872	17.7092201217265	19.1976278043609	15.3427854474864	10.9936633538733	19.7027971666113	12.8882165046733	23.7032325826534	10.331917194518	26.9869452917202	31.437246198553	31.0572425128124	43.0362833286887	20.7624058800213	19.0518871164588	26.8784030889495	21.3163055527975
ENSG00000102181.21-CD99L2	7.40135896838463	48.4022840442669	7.74211143568546	46.6725385796447	6.8796842656739	40.7622160960024	6.96436678007363	39.1844914427037	5.49878751610459	42.4996500734387	7.00429062283907	38.7868562794437	6.46934958375263	44.0539685262433	6.83026250891256	47.2324003891731	9.14504485258769	41.25947211588	7.55436138890296	40.3112379507307	7.70389390874516	40.3025138811973	7.40504188072086	36.8581471762412	7.29704055276096	41.7430389769859	7.1186311236443	41.9223948436096	8.13184420319082	38.8969411414096	7.0932350346243	46.0202399852159	8.52341923826683	40.2263896902518	7.85650232813831	35.7074157636361	7.23228402020078	45.3020843374746	5.60074016114406	46.4549448794897
ENSG00000104765.16-BNIP3L	45.8367205838983	213.79112689792	48.7692112108173	218.761545301164	44.6915620642986	191.010543986032	38.1749312252187	184.864322248021	42.5892898554302	176.738737226653	38.5024320195825	172.637938102943	44.7925021462522	217.691004368432	41.0381609415632	214.154971865432	45.8589732235661	186.969462744935	44.0383208795369	188.64013328246	38.2665897915082	190.476291759377	50.1320911956279	192.932430388477	51.632652396775	174.606817802324	39.8471791882169	185.115051868722	41.8229865784215	192.369692262681	39.0596455188302	165.520460905356	40.5384320114208	196.28481421264	41.1259627140627	194.000246135192	42.4946456532123	210.858932257407	54.0476147067292	202.979937533124
ENSG00000111186.13-WNT5B	2.25560719781392	115.145953357219	2.56132766511046	129.826166756286	1.38835916974357	93.712586001005	1.99029273149345	101.703565921124	1.66378276538823	126.049163117625	1.28167743187067	122.559836401511	2.04578296688927	130.824541547021	1.64007530398272	143.037344231434	2.40500446600986	105.80048049266	1.62386876113787	105.787340755687	1.09702996895307	106.905467423674	2.33706146435034	102.415395341929	1.69599758832434	99.7424150965027	1.6954137252815	110.123255118834	2.12611138999025	94.4782675460787	1.4114846405975	115.876885486642	1.44473832851115	96.0702510448906	1.82619589398963	97.3257003299492	1.51735310420507	126.038086426546	1.93974035184985	142.274524508069
