"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000215790.7-SLC35E2A"	11.1617469424824	18.371630369172	8.01557919490247	2.16624391224389e-09	2.29229552506869e-06	11.3866733359813	"ENSG00000215790.7-SLC35E2A"	TRUE	5.63972939340924	TRUE
"ENSG00000273136.7-NBPF26"	7.90669352623216	7.01936695375331	8.01285722641828	2.18306929151648e-09	2.29229552506869e-06	11.3794233899047	"ENSG00000273136.7-NBPF26"	TRUE	5.63972939340924	TRUE
"ENSG00000259943.1-AL050341.2"	3.35689768148688	11.2908867087395	7.97020763087394	2.46470877228453e-09	2.50454164631403e-06	11.2656981934764	"ENSG00000259943.1-AL050341.2"	TRUE	5.60127174232783	TRUE
"ENSG00000253341.1-AC115837.1"	9.28161860597304	5.60002605596821	7.8976519450069	3.03127462197341e-09	2.98400568333701e-06	11.0716781056776	"ENSG00000253341.1-AC115837.1"	TRUE	5.52520035404134	TRUE
"ENSG00000276644.5-DACH1"	12.4918310981734	15.0925176897258	7.75296796323584	4.58765559053063e-09	4.37926481082744e-06	10.6827447385823	"ENSG00000276644.5-DACH1"	TRUE	5.35859879255533	TRUE
"ENSG00000157322.17-CLEC18A"	7.04629059658171	4.44521763810291	7.70067811466541	5.33189296976538e-09	4.93999883648763e-06	10.5415261080368	"ENSG00000157322.17-CLEC18A"	TRUE	5.30627315336523	TRUE
"ENSG00000137726.17-FXYD6"	39.2650147317121	148.949709207723	7.67773577981487	5.69598855285488e-09	5.12655244009948e-06	10.4794579075766	"ENSG00000137726.17-FXYD6"	TRUE	5.29017459581871	TRUE
"ENSG00000174233.11-ADCY6"	39.5613845043273	66.6675292715673	7.66527550580971	5.90418861106562e-09	5.16632903992162e-06	10.4457204377277	"ENSG00000174233.11-ADCY6"	TRUE	5.28681793736681	TRUE
"ENSG00000115468.12-EFHD1"	12.1181002447844	15.8393968191119	7.60798983407874	6.96520617979737e-09	5.77397262815255e-06	10.2903668718926	"ENSG00000115468.12-EFHD1"	TRUE	5.23852527924825	TRUE
"ENSG00000196465.10-MYL6B"	42.5691533496065	178.165077992289	7.55081346472144	8.21719277300812e-09	6.63717409083407e-06	10.1349097306274	"ENSG00000196465.10-MYL6B"	TRUE	5.17801679081102	TRUE
"ENSG00000146707.14-POMZP3"	-12.7510305608228	20.0933647150387	-7.53639707441195	8.56738402052501e-09	6.74702910076396e-06	10.0956505300857	"ENSG00000146707.14-POMZP3"	TRUE	5.1708874166753	FALSE
"ENSG00000267751.5-AC009005.1"	44.860781716154	21.3123655266914	7.51338258164203	9.1580400628471e-09	7.03627853706699e-06	10.0329250353629	"ENSG00000267751.5-AC009005.1"	TRUE	5.15265697695806	TRUE
"ENSG00000198719.9-DLL1"	50.7124969684561	94.607518335812	7.43636754443144	1.14516764790572e-08	8.58903001825667e-06	9.82256512724067	"ENSG00000198719.9-DLL1"	TRUE	5.06605587941726	TRUE
