"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000163661.4-PTX3"	41.7412845293921	35.0350427567527	11.5832524301021	1.9128508581588e-13	6.02567148828604e-09	19.8201425880266	"ENSG00000163661.4-PTX3"	TRUE	8.21999454918335	TRUE
"ENSG00000112333.11-NR2E1"	6.5364478937599	4.27733034153727	10.8514169179296	1.13542123892985e-12	1.78834522237646e-08	18.2376919305809	"ENSG00000112333.11-NR2E1"	TRUE	7.74754864118824	TRUE
"ENSG00000144115.16-THNSL2"	17.2184180359218	10.5231517587084	10.4645574431236	2.99255681946609e-12	3.14228441233337e-08	17.3686572329253	"ENSG00000144115.16-THNSL2"	TRUE	7.50275450894694	TRUE
