"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000231240.1-KLF2P1"	-0.242344713304751	0.600687889410031	-9.25948680843065	6.93993144114299e-11	2.18614780327445e-06	13.7524310826855
"ENSG00000223756.6-TSSC2"	-75.4425103511738	68.615829887999	-8.79764562456523	2.43412597302631e-10	3.83387011381509e-06	12.695499770516
"ENSG00000226067.7-LINC00623"	12.5497306295693	9.75604415448589	8.23961111990052	1.14933758107737e-09	1.20684277138394e-05	11.3723812492027
"ENSG00000177359.20-AC024940.2"	10.4343770094408	5.16357892469853	7.8079118315255	3.91857640584165e-09	3.08597688401044e-05	10.3154678450497
"ENSG00000125821.12-DTD1"	21.3199372224184	69.9047221831866	7.42147375448295	1.19583509590688e-08	7.53400027123253e-05	9.34608260747921
"ENSG00000133789.15-SWAP70"	-4.69802945474239	28.4003739341446	-7.34882172845609	1.47750578946018e-08	7.75715164563087e-05	9.16150641490907
"ENSG00000153767.10-GTF2E1"	-14.4898470741	32.7528128932189	-6.83566185560833	6.67656380127602e-08	0.000300454909005709	7.83847577781174
"ENSG00000138346.15-DNA2"	-9.27876511233283	32.7224336006909	-6.7002387893465	9.97829049268892e-08	0.000389972671404753	7.48411804335994
"ENSG00000185829.17-ARL17A"	-7.91787169579495	12.5593916248313	-6.65270110906033	1.14936030051069e-07	0.000389972671404753	7.35925896789013
"ENSG00000112619.8-PRPH2"	1.07306797724601	1.36459442062758	6.62775161071228	1.23796918004112e-07	0.000389972671404753	7.29363425635995
"ENSG00000135549.15-PKIB"	54.7797649374133	63.5984629453746	6.55514127426061	1.53704288298975e-07	0.000419287014210582	7.10228779962331
"ENSG00000188897.9-AC099489.1"	-2.80070610002823	2.56321303447308	-6.51568993923269	1.72906598560742e-07	0.000419287014210582	6.99810505444245
"ENSG00000274276.4-CBSL"	-152.282688219257	31.8746611791793	-6.51544400064196	1.73033592099856e-07	0.000419287014210582	6.99745510975948
"ENSG00000124875.10-CXCL6"	3.34610483088747	5.61078287387995	6.36940338033736	2.67770474722823e-07	0.000602502694588832	6.61051829301479
"ENSG00000089693.10-MLF2"	-23.5511308525732	227.24192024029	-6.14129531960884	5.3087852033282e-07	0.00103676216430215	6.00251227947497
"ENSG00000051596.9-THOC3"	-28.1467771596859	77.4053425525781	-6.13122575593847	5.47193894266092e-07	0.00103676216430215	5.97558089247608
"ENSG00000204711.9-C9orf135"	11.4271933377079	14.8924662206293	6.12382547319397	5.59504675824151e-07	0.00103676216430215	5.9557840223159
"ENSG00000287816.1-AL133475.1"	0.158533999694194	0.598029233307989	6.06507788011856	6.67643701819419e-07	0.00116841356950075	5.79849182254945
"ENSG00000270696.1-AC005034.3"	-3.97595484751392	9.36609263218387	-5.94646848405094	9.5422752289053e-07	0.00158205901045129	5.4802507248304
"ENSG00000215286.3-AL031584.1"	0.217314108252442	0.599650751522486	5.86549913895397	1.21799555696428e-06	0.00191840390199659	5.26253943103854
"ENSG00000170855.4-TRIAP1"	-14.7816193317809	62.0034295192805	-5.70435051159147	1.98055216497847e-06	0.00292302985464914	4.82832151643934
"ENSG00000283526.1-PRRT1B"	0.470981798154485	0.994197772961879	5.69432205278077	2.04141636145777e-06	0.00292302985464914	4.80126553573206
"ENSG00000132470.14-ITGB4"	4.63848370897954	4.18122098181885	5.65909326374664	2.27045523046026e-06	0.00310963522672733	4.70619440085531
"ENSG00000264070.1-DND1P1"	1.51477252008108	1.90497020138336	5.64118244842494	2.39659082266679e-06	0.0031456253127011	4.65784390622879
"ENSG00000234076.1-TPRG1-AS1"	0.376414449312973	0.654187030639112	5.61825217991978	2.56836381197003e-06	0.00323624113763472	4.59592971373768
"ENSG00000144488.15-ESPNL"	1.38694415672515	2.23934371773213	5.54995891844108	3.15643012059505e-06	0.0036756992526229	4.41145095838317
"ENSG00000134809.9-TIMM10"	-19.6575236467811	60.2582891030599	-5.5447629202877	3.20633348792592e-06	0.0036756992526229	4.39741087156826
"ENSG00000110148.10-CCKBR"	-9.29752584842471	20.357756711591	-5.53853535790651	3.26718450441069e-06	0.0036756992526229	4.38058269627942
"ENSG00000154359.13-LONRF1"	-9.28112845902674	34.7299232352015	-5.50890105689422	3.57294611362769e-06	0.00372161461772922	4.30049485642993
"ENSG00000124783.14-SSR1"	-18.0828737586385	72.2736765697666	-5.50143468876131	3.65439220237314e-06	0.00372161461772922	4.28031436684552
"ENSG00000285231.1-OOSP3"	-0.288419994983955	0.615249047891948	-5.5007073228678	3.66242510236519e-06	0.00372161461772922	4.27834835777614
"ENSG00000189068.11-VSTM1"	-1.05557874979404	0.942731802868263	-5.48087200184249	3.88841674214842e-06	0.00382778174357555	4.22473215631708
"ENSG00000143951.16-WDPCP"	-4.78725966849367	9.32154283832027	-5.45413709271313	4.21521759927913e-06	0.00402374453317854	4.15245779201812
"ENSG00000285688.1-AL161443.1"	0.181295530392898	0.617200578049988	5.38890892225549	5.13231721384871e-06	0.0046197728363687	3.9760945086658
"ENSG00000265992.1-ESRG"	203.560729417026	480.633346278878	5.38199552612204	5.24050542513976e-06	0.0046197728363687	3.95740073502465
"ENSG00000143412.10-ANXA9"	1.39457289605555	2.00440624995958	5.37953401820788	5.27957277893633e-06	0.0046197728363687	3.95074480131148
"ENSG00000102699.6-PARP4"	7.79119308472278	30.7099581330588	5.3570101130801	5.65083099790292e-06	0.00481099533148486	3.88983951093798
"ENSG00000172780.16-RAB43"	4.65430389538609	11.3116203514937	5.31884313080218	6.34034925698704e-06	0.00525598268274602	3.78663550251196
"ENSG00000136824.19-SMC2"	-6.53854874069858	35.6278623364717	-5.28265323446955	7.0714803769574e-06	0.00571176162447526	3.68878310599908
"ENSG00000109586.12-GALNT7"	-14.7814276381543	64.5501103499312	-5.2658378147225	7.43923117314423e-06	0.00585858052963041	3.64331993663235
"ENSG00000155096.14-AZIN1"	-26.9834027530947	173.844811658355	-5.22813502077522	8.33454881464704e-06	0.0064035761514682	3.54139573363846
"ENSG00000259479.6-SORD2P"	4.73340318568414	6.71576214543675	5.21220405479475	8.74440556503871e-06	0.00655851237391153	3.4983344726151
"ENSG00000135547.9-HEY2"	3.25361835644033	6.3810794632469	5.19387813371987	9.24076656989199e-06	0.00661490550022987	3.44880486062609
"ENSG00000100353.18-EIF3D"	20.5773323893684	186.865708752418	5.1924109202968	9.28169907253933e-06	0.00661490550022987	3.44483967187038
"ENSG00000198712.1-MT-CO2"	-1995.94602781457	14366.6365691599	-5.18646047222667	9.44956501413746e-06	0.00661490550022987	3.42875882409373
"ENSG00000170291.15-ELP5"	21.5579805262565	68.4169344207664	5.16570640845495	1.00590655350255e-05	0.00688849181345299	3.37267736307618
"ENSG00000160200.17-CBS"	276.596662990611	301.829223427346	5.1542939031128	1.04107456558394e-05	0.00697763614690632	3.34184255080484
"ENSG00000271654.1-AC025062.2"	0.280244302601302	0.619278675991822	5.13870063446143	1.09111254445801e-05	0.00716065338811912	3.29971692101315
"ENSG00000115540.15-MOB4"	-13.1448497234897	67.1376328998224	-5.11580374375061	1.16895675953641e-05	0.00751496058819519	3.23787162100571
"ENSG00000162636.16-FAM102B"	-2.83298246180905	9.88545657708287	-5.065284691394	1.36080582651414e-05	0.0085035710400656	3.10147204932427
"ENSG00000146530.14-VWDE"	11.2438593607491	10.6425543811379	5.06141661822248	1.37672493902843e-05	0.0085035710400656	3.09103180318629
"ENSG00000145087.12-STXBP5L"	-2.25781090112613	3.36065096498271	-5.03292915211927	1.49981091870092e-05	0.00908568149038417	3.01415833461212
"ENSG00000150510.16-FAM124A"	5.6168031331038	33.3422312635461	5.02073320693341	1.55579425251107e-05	0.00924699523553797	2.98125692790261
"ENSG00000155961.5-RAB39B"	-2.53965083749829	9.41267049874683	-5.00556099237255	1.62834667224068e-05	0.00949899046708399	2.94033467588656
