"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000237149.5-ZNF503-AS2"	1.59222745345801	1.61114989183224	6.11476697190254	5.74953459335204e-07	0.000217348266815876	6.11510484370051	"ENSG00000237149.5-ZNF503-AS2"	TRUE	3.66284381862153	TRUE
"ENSG00000147509.14-RGS20"	-4.28888152385682	7.85094838252257	-6.11210344084485	5.79576978906498e-07	0.000217348266815876	6.10756909453057	"ENSG00000147509.14-RGS20"	TRUE	3.66284381862153	FALSE
"ENSG00000137103.20-TMEM8B"	6.77769104347557	19.9394465040527	6.10578781522834	5.90689870380636e-07	0.000218895039168874	6.08969934133904	"ENSG00000137103.20-TMEM8B"	TRUE	3.65976408076188	TRUE
"ENSG00000122884.12-P4HA1"	40.7057812331985	66.9447367391194	6.10192101801067	5.97599230771186e-07	0.000218895039168874	6.07875747734216	"ENSG00000122884.12-P4HA1"	TRUE	3.65976408076188	TRUE
"ENSG00000230724.9-LINC01001"	19.9311016947047	31.1756332370451	6.09031452482167	6.18829646161879e-07	0.000222814529696787	6.04591033336652	"ENSG00000230724.9-LINC01001"	TRUE	3.65205649230714	TRUE
"ENSG00000215374.6-FAM66B"	1.61145557877874	2.68308546106555	6.03044855020832	7.40982453986842e-07	0.00026226616048359	5.876387711756	"ENSG00000215374.6-FAM66B"	TRUE	3.58125774167545	TRUE
"ENSG00000176171.11-BNIP3"	43.1941646098599	85.7410238439835	6.02501665947085	7.53198694131826e-07	0.000263627911820518	5.86099845139021	"ENSG00000176171.11-BNIP3"	TRUE	3.57900861036066	TRUE
"ENSG00000188554.14-NBR1"	6.66396748350724	47.4875377153501	5.99710225242984	8.19241372632801e-07	0.000283592554717647	5.7818940476815	"ENSG00000188554.14-NBR1"	TRUE	3.54730517506685	TRUE
"ENSG00000137497.17-NUMA1"	26.5405667508822	158.194330921314	5.97819173860665	8.67254938742856e-07	0.000296949976362377	5.72828739658203	"ENSG00000137497.17-NUMA1"	TRUE	3.52731670495739	TRUE
"ENSG00000197928.10-ZNF677"	17.988956170488	38.0788451141437	5.96576258833962	9.00340608817142e-07	0.000304963758261815	5.69304636071991	"ENSG00000197928.10-ZNF677"	TRUE	3.51575176892244	TRUE
"ENSG00000205730.6-ITPRIPL2"	-1.03346101575861	3.39870198727538	-5.94814964971901	9.49406156970911e-07	0.000316093631409616	5.64309768101887	"ENSG00000205730.6-ITPRIPL2"	TRUE	3.50018425414942	FALSE
"ENSG00000092036.18-HAUS4"	15.7226236294786	55.4681537182467	5.94106936035423	9.69878272221451e-07	0.000316093631409616	5.62301549055491	"ENSG00000092036.18-HAUS4"	TRUE	3.50018425414942	TRUE
"ENSG00000198315.11-ZKSCAN8"	4.86169765523057	29.7871760097211	5.93856430128984	9.77227045569393e-07	0.000316093631409616	5.61590984013619	"ENSG00000198315.11-ZKSCAN8"	TRUE	3.50018425414942	TRUE
"ENSG00000111186.13-WNT5B"	21.1388973024864	57.5411032955045	5.93648434126299	9.83371190696879e-07	0.000316093631409616	5.61000982563924	"ENSG00000111186.13-WNT5B"	TRUE	3.50018425414942	TRUE
"ENSG00000139722.7-VPS37B"	-11.5601947948371	41.2633053651086	-5.90602071037704	1.07793067611951e-06	0.000332900923808243	5.52357991787227	"ENSG00000139722.7-VPS37B"	TRUE	3.4776849996638	FALSE
"ENSG00000152556.17-PFKM"	19.1605608504278	95.7619303092797	5.90218963623817	1.09045075470648e-06	0.000333497953631152	5.5127084281057	"ENSG00000152556.17-PFKM"	TRUE	3.47690682660328	TRUE
"ENSG00000108829.10-LRRC59"	-10.3697240662832	89.1503050297437	-5.89633333066244	1.1098718276099e-06	0.000336173773476342	5.49608901382537	"ENSG00000108829.10-LRRC59"	TRUE	3.47343617096433	FALSE
"ENSG00000102181.21-CD99L2"	4.92305787187614	24.7012869136848	5.89034305253911	1.13009615201298e-06	0.000339039608424388	5.47908829532819	"ENSG00000102181.21-CD99L2"	TRUE	3.46974956222373	TRUE
"ENSG00000183281.14-PLGLB1"	-1.86239523020555	1.84612532038796	-5.87518059960499	1.18295472284128e-06	0.000348264081534796	5.43605158777286	"ENSG00000183281.14-PLGLB1"	TRUE	3.45809131450423	FALSE
"ENSG00000144730.18-IL17RD"	28.8445228835851	53.5879845904753	5.8681501626553	1.20829831287355e-06	0.000352431529202126	5.41609426803382	"ENSG00000144730.18-IL17RD"	TRUE	3.45292524570271	TRUE
"ENSG00000226562.4-CYP4F26P"	-3.33797660447975	5.09779659992605	-5.86183265780727	1.23153599435818e-06	0.000352678321438881	5.39815953548328	"ENSG00000226562.4-CYP4F26P"	TRUE	3.45262123488545	FALSE
"ENSG00000079974.17-RABL2B"	-9.32095118227304	40.243383779813	-5.84489260636312	1.29608230102038e-06	0.000364534719325384	5.35006300580316	"ENSG00000079974.17-RABL2B"	TRUE	3.43826110193215	FALSE
