1116aIPSC	1116aNPC	1116bIPSC	1116bNPC	1128aIPSC	1128aNPC	1128bIPSC	1128bNPC	1164aIPSC	1164aNPC	1164bIPSC	1164bNPC	1206aIPSC	1206aNPC	1206bIPSC	1206bNPC	1358aIPSC	1358aNPC	1358bIPSC	1358bNPC	1428aIPSC	1428aNPC	1428bIPSC	1428bNPC	1485aIPSC	1485aNPC	1485bIPSC	1485bNPC	1928aIPSC	1928aNPC	1928bIPSC	1928bNPC	2140aIPSC	2140aNPC	2140bIPSC	2140bNPC	2220aIPSC	2220aNPC	2220bIPSC	2220bNPC
ENSG00000007372.23-PAX6	1.03599422998025	200.05555482985	0.712833521722497	183.747444732797	0.50261478787825	102.894172430344	1.11829722859515	150.730203560627	0.856024945686618	194.387156631196	0.870567258751337	196.916061651811	0.583114703045008	176.373578374388	0.703582614796983	186.227706100652	0.598412998272738	245.90991894868	1.08153743478918	205.352187108003	0.483545685998084	131.805595915362	0.669314214049061	138.747184656601	1.24893789719336	157.551291786843	0.78464384805292	200.572966071227	0.873221591337282	195.677117894455	0.806405747025938	173.015929503676	0.693017971705245	118.900047288578	0.788512895189705	130.293969225329	0.57502595312962	157.443203110028	0.594485985423762	187.329429917837
ENSG00000075891.21-PAX2	0.60199791162799	0.618467662456353	0.595516267514847	0.680689857901275	0.558312083667066	0.618173896192746	0.535564836606893	0.597740675133131	0.580176843227462	0.904216233315745	0.588940751165308	0.57190026729176	0.51115357873787	0.7163123056875	0.529384889154831	0.742090020161121	0.540669041074405	0.528445058952965	0.59582742597403	0.552956225205986	0.581239483760753	0.632546542481707	0.5800218886923	0.609822201108861	0.577610872276893	0.510783059973786	0.598775403391168	0.69643559875887	0.925809286012885	0.562596345091088	0.611212345744249	0.569120571363852	0.54980847039166	0.598344063122687	0.567265294694191	0.751401898290256	0.583210020973436	0.626710678667274	0.574245084095643	0.574445150912398
ENSG00000105991.9-HOXA1	0.557138887350924	0.549348468536445	0.555493264608353	0.556161880406785	0.550414294331546	0.561228455211201	0.540091402321137	0.544401355630785	0.560569890670033	0.559917738074974	0.560578651887638	0.558720643846981	0.558534373558065	0.55239391156006	0.564783125781198	0.554135058080873	0.55236003355437	0.562095945207215	0.554470739891115	0.555921058934245	0.553879957251423	0.552696031380319	0.555639267080151	0.552670530605745	0.560378475657274	0.548581026563838	0.565714553171982	0.561810351982478	0.551916049634154	0.551498801118993	0.631088767929537	0.549602339489022	0.557474307785647	0.557464974676264	0.559542925141917	0.555078011143613	0.553878528297834	0.546125184543009	0.545758646311881	0.56629083514246
ENSG00000111640.15-GAPDH	5540.47442806937	6240.72953858657	7170.68599427248	7114.96760512448	5601.56758232933	5687.26119172787	5254.62891241973	5573.18163567024	5863.81467299172	6209.27876975912	5278.55841527117	5974.55315802661	6096.01413445082	6032.19777602639	6396.91277614672	5956.21807049346	5775.45035984024	5928.23169312474	5868.81064105805	5780.82471842904	6086.64389961028	4983.77801582365	5925.19757094508	5590.8588869821	4671.78824808134	5492.12248938927	6202.42723563342	5856.51453622532	6061.34427667378	6268.55780657157	5766.16684792478	4970.90676280656	6365.37257071441	5158.45313707835	5475.87934379906	6228.2500632098	5331.39383237512	8889.32799629487	5356.99990635228	5719.14688815238
ENSG00000113196.3-HAND1	0.593748445223602	0.553855571554077	0.553358345880172	0.546156751349581	0.545084815662323	0.543345713558032	0.556492381013867	0.589152171558547	0.543899683652156	0.651083662551505	0.542412110552293	0.553780993583722	0.664328045506515	0.544326229162146	0.650542080898266	0.548740211141691	0.553344244741743	0.559253607860668	0.557081242486464	0.559752799053943	0.555630544328518	0.553277719507321	0.689629000646157	0.556121342112083	0.554814819094377	0.557273668869807	0.584904397935157	0.549614646822763	0.555365310422721	0.545365999433422	0.69132601212234	0.559050178840609	0.550856995080788	0.551063493260092	0.665063608519084	0.561117781876174	0.573519033987745	0.56985058192898	0.570304012564881	0.566581182402823
ENSG00000115507.10-OTX1	1.1417062022648	21.0271752634041	0.84902514871213	20.8212191046098	1.74292742675473	15.8946975176855	1.7294794538512	19.1951517986249	1.3947930215754	18.4290359375459	1.28017858999315	15.733527514029	2.01258427763278	14.2497548895466	1.64053716126486	7.12534651505786	1.93838069407279	20.0989014573451	1.71187499612502	20.0532319892137	1.8891789981131	14.7356196905145	2.04156210652485	12.7188743514116	1.47161549176534	13.733251252835	1.64482698940186	19.1017916900503	0.845441823898804	19.0598753361775	1.30715936077035	15.2233716954149	1.36662887677544	17.0272208934665	1.50719519593346	15.1286502138093	1.18380217378831	23.9267074750576	1.47307069089507	14.0072588883049
ENSG00000143178.13-TBX19	1.32087754687223	2.0166560240653	1.54851396465358	2.23986156651147	1.19916110723911	2.28269201438305	1.64891145947199	2.00689339717602	1.41734950881791	2.2785859293881	1.17295233764757	1.83093517001272	1.52279016867897	2.47959213496601	1.19932461902271	2.0548848288154	1.5711882904707	2.03774973932367	1.71846316109938	1.98144943160177	1.62231142246138	2.08057808425738	1.39007541727702	2.20588393526874	1.42920023830452	2.34709271467658	1.44656310957189	1.77602035191989	1.43404959459134	2.29348171038542	1.34979509387022	2.09349524959599	1.88513879041746	2.26446025783253	1.78848372682112	1.69146906174813	1.24451544628875	1.89425564955846	1.64754881773171	2.67723795389907
ENSG00000146910.12-CNPY1	0.586655101601866	0.588118859622199	0.58989433697694	0.700567133456572	0.569095197689008	0.650648970194223	0.553318923196035	0.65171279436077	0.557338277355096	0.680601886413748	0.543314021975398	0.544570710590391	0.605488344377585	0.688170800890592	0.644216088389113	0.589610249420573	0.569998884317389	0.580408419790041	0.588521325941924	0.599356822373801	0.572466823949129	0.649230639067868	0.680979664608541	0.636129884791135	0.525410411514495	0.48803431819207	0.593876493268159	0.544087804418851	0.5267946541013	0.748142893579259	0.529762606330509	0.589837820344366	0.615557736322972	0.952346808450325	0.519695477147515	0.475860262959961	0.536113764613484	1.37123233774857	0.483557892542494	0.662962546688674
ENSG00000164736.6-SOX17	0.5851204	0.5573671	0.556392	0.5571854	0.5544751	0.5519242	0.5510997	0.5525119	0.5571165	0.5576742	0.560296	0.5566507	0.5482274	0.5937299	0.5494611	0.5404775	0.5525724	0.5496825	0.5505401	0.5675934	0.5547813	0.5558135	0.5559675	0.5570159	0.5600253	0.5554211	0.5522394	0.5549317	0.5612347	0.5575075	0.5553561	0.5587742	0.5586025	0.5524007	0.5600713	0.5563721	0.5573277	0.5581395	0.561636	0.5683389
ENSG00000164778.4-EN2	0.5495885	0.5553517	0.5517316	0.5470192	0.5796635	0.5863368	0.5611111	0.5574005	0.5445116	0.545734	0.5471937	0.5940062	0.5534964	0.5527171	0.5516991	0.5450514	0.5569926	0.5862711	0.5571007	0.547016	0.5468265	0.5574078	0.6220426	0.5635131	0.5558945	0.5602053	0.5621656	0.5671897	0.5626055	0.5649861	0.5655002	0.5667465	0.5598505	0.5573095	0.5532729	0.5643799	0.5512919	0.5585192	0.5599474	0.5497226
