Gene	1116aNPC	1116bNPC	1128aNPC	1128bNPC	1164aNPC	1164bNPC	1206aNPC	1206bNPC	1358aNPC	1358bNPC	1428aNPC	1428bNPC	1485aNPC	1485bNPC	1928aNPC	1928bNPC	2140aNPC	2140bNPC	2220aNPC	2220bNPC	1853bNPC	2349bNPC	1853aNPC	2349aNPC
ENSG00000007372.23-PAX6	124.615948122815	122.091015796026	82.0017277992649	90.5207646497409	130.549256404574	118.289282117775	105.305759206279	121.529811626186	133.269439002238	126.282344846614	82.6444673454747	89.5990618719662	127.483069097579	140.141528452987	140.149377696329	111.333566228692	89.704726658714	85.9446497548617	106.482909109088	111.58211812871	91.3063737596294	114.032183174714	85.01695691954	112.22657765008
ENSG00000106689.11-LHX2	353.0541	324.6429	168.6864	201.8085	229.0307	249.0972	267.1258	250.2098	316.9948	313.6644	184.5032	191.7252	292.2841	307.6262	242.7585	228.39	202.384	225.7545	256.2426	292.4604	185.8233	266.7767	195.0831	326.8631
ENSG00000138083.5-SIX3	80.90056	82.61683	80.64435	68.60131	84.15635	76.22427	91.56925	89.12889	70.16353	70.04402	76.4666	69.96493	72.49856	74.65579	86.52185	75.53108	72.91553	65.19125	82.88406	89.75224	78.40444	88.31692	69.87277	79.58507
ENSG00000170370.12-EMX2	214.3994	176.5714	115.3375	144.4251	168.0341	198.295	159.0516	150.9764	242.8039	226.4588	119.8776	144.4106	223.3161	205.2289	181.852	164.8655	139.4806	161.6595	148.8825	195.9089	133.1548	169.2318	133.2032	185.4233
ENSG00000181449.4-SOX2	593.288	592.8173	373.9949	402.0154	472.7551	452.3867	543.3902	530.6208	504.5034	517.5597	386.1203	395.6569	486.648	527.2021	466.1996	459.7805	398.2446	416.3555	538.9742	545.615	400.9633	522.9198	384.3653	600.9195
ENSG00000196776.16-CD47	47.5379819510226	50.9731995933507	50.1234571181403	49.8799662653267	55.4967719876507	50.1689311814109	45.4921382854444	49.1518290742671	53.6209538997764	55.6094977432293	49.3810509883426	50.7291567819669	56.8840875147094	54.0386152706367	49.7132383014581	57.9767185075736	51.2115475348213	49.8791593261419	44.2954451153457	48.1892470782697	47.6473596528783	48.9441688152727	52.7364397162645	46.3336035910455
ENSG00000002586.20-CD99	786.500061206946	738.17654196344	658.076139096332	740.297754074486	690.493724399073	708.016308831567	837.869659709224	801.540066219485	704.089618859515	661.775021128214	682.264631439729	722.970754883849	639.928063203198	632.79698632515	651.642711920164	681.571425475255	678.803575408612	728.357115542679	848.853118890841	924.630230399793	681.424971520513	777.447697516221	700.416536056685	892.804518915348
ENSG00000102181.21-CD99L2	41.6334347644885	39.7602595614037	40.533668436836	39.66053371601	41.2030809606109	37.6556288267565	38.3901950566775	41.5838434494914	40.1342037660693	38.7975569047742	41.4807035483079	38.4787248987188	39.3712629342939	41.888623935254	37.5819446378202	43.5716189292491	41.5686550850441	37.8695515957768	39.4821475720145	38.002137657812	40.6072520541605	40.1349949423023	39.3113146996847	39.3432118295023
ENSG00000223773.7-CD99P1	25.0140964636459	22.0489266393778	18.1255912574796	20.6292355707607	15.9030156201632	17.5371138655544	22.4209306138714	22.8559969741568	17.9767341587514	17.7084959601506	18.6077626800241	20.4153392242676	16.908390328414	17.2897759964124	17.4400857740409	15.2446171719521	16.988549021472	24.0934535361521	28.3076052754186	19.5992782855659	19.6893400591191	22.5188123841828	19.1915653012314	24.5506613361878
